RouteID,Url,Type,TypeZh,RouteName
R3,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1603&locale=zh_TW,Red,紅,紅3
R3-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1801&locale=zh_TW,Red,紅,紅3-1
R4,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1604&locale=zh_TW,Red,紅,紅4
R10,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1610&locale=zh_TW,Red,紅,紅10
R11,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1611&locale=zh_TW,Red,紅,紅11
R12,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1710&locale=zh_TW,Red,紅,紅12
R13,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1613&locale=zh_TW,Red,紅,紅13
R14,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1614&locale=zh_TW,Red,紅,紅14
UR0-Left,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10450&locale=zh_TW,Urban,市區,市區0-Left
UR0-Right,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10451&locale=zh_TW,Urban,市區,市區0-Right
UR1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10160&locale=zh_TW,Urban,市區,市區1
UR2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10162&locale=zh_TW,Urban,市區,市區2
UR3,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10163&locale=zh_TW,Urban,市區,市區3
UR5,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10164&locale=zh_TW,Urban,市區,市區5
UR6,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10165&locale=zh_TW,Urban,市區,市區6
UR7,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10166&locale=zh_TW,Urban,市區,市區7
UR9,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10167&locale=zh_TW,Urban,市區,市區9
UR10,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10168&locale=zh_TW,Urban,市區,市區10
UR11,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10169&locale=zh_TW,Urban,市區,市區11
UR14,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10170&locale=zh_TW,Urban,市區,市區14
UR15,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10452&locale=zh_TW,Urban,市區,市區15
UR18,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10161&locale=zh_TW,Urban,市區,市區18
UR19,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10019&locale=zh_TW,Urban,市區,市區19
UR20,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10020&locale=zh_TW,Urban,市區,市區20
UR21,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10021&locale=zh_TW,Urban,市區,市區21
UR70,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1070&locale=zh_TW,Urban,市區,市區70
UR77,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1077&locale=zh_TW,Urban,市區,市區77
